ExT,a,i,k,t 
11293,9,1,1,28 
11293,9,1,1,29 
11293,9,1,1,30 
11293,9,1,1,31 
11293,9,1,1,32 
11293,9,1,1,33 
11293,9,1,1,34 
11293,9,1,1,35 
11293,9,1,1,36 
11293,9,1,1,37 
11293,9,1,1,38 
11293,9,1,1,39 
11293,9,1,1,40 
11293,9,1,1,41 
11293,9,1,1,42 
11293,9,1,1,43 
11293,9,1,1,44 
11293,9,1,1,45 
11293,9,1,1,46 
11293,9,1,1,47 
11293,9,1,1,48 
11293,9,1,1,49 
11293,9,1,1,50 
11293,9,1,1,51 
11293,9,1,1,52 
11514,10,1,1,1 
11514,10,1,1,2 
11514,10,1,1,3 
11514,10,1,1,4 
11514,10,1,1,5 
11514,10,1,1,6 
11514,10,1,1,7 
11514,10,1,1,8 
11514,10,1,1,9 
11514,10,1,1,10 
11514,10,1,1,11 
11514,10,1,1,12 
11514,10,1,1,13 
11514,10,1,1,14 
11514,10,1,1,15 
11514,10,1,1,16 
11514,10,1,1,17 
11514,10,1,1,18 
11514,10,1,1,19 
11514,10,1,1,20 
11514,10,1,1,21 
11514,10,1,1,22 
11514,10,1,1,23 
11514,10,1,1,24 
11514,10,1,1,25 
11514,10,1,1,26 
11514,10,1,1,27 
11514,10,1,1,28 
11514,10,1,1,29 
11514,10,1,1,30 
11514,10,1,1,31 
11514,10,1,1,32 
11514,10,1,1,33 
11514,10,1,1,34 
11514,10,1,1,35 
11514,10,1,1,36 
11514,10,1,1,37 
11514,10,1,1,38 
11514,10,1,1,39 
11514,10,1,1,40 
11514,10,1,1,41 
11514,10,1,1,42 
11514,10,1,1,43 
11514,10,1,1,44 
11514,10,1,1,45 
11514,10,1,1,46 
11514,10,1,1,47 
11514,10,1,1,48 
11514,10,1,1,49 
11514,10,1,1,50 
11514,10,1,1,51 
11514,10,1,1,52 
276,1,2,1,1 
276,1,2,1,2 
276,1,2,1,3 
276,1,2,1,4 
276,1,2,1,5 
276,1,2,1,6 
276,1,2,1,7 
276,1,2,1,8 
276,1,2,1,9 
276,1,2,1,10 
276,1,2,1,11 
276,1,2,1,12 
276,1,2,1,13 
276,1,2,1,14 
276,1,2,1,15 
276,1,2,1,16 
276,1,2,1,17 
276,1,2,1,18 
276,1,2,1,19 
276,1,2,1,20 
276,1,2,1,21 
276,1,2,1,22 
276,1,2,1,23 
