Al,tau,a,i,k,t 
0,2,8,3,4,5 
0,3,8,3,4,5 
0,4,8,3,4,5 
0,5,8,3,4,5 
0,1,9,3,1,5 
0,2,9,3,1,5 
0,3,9,3,1,5 
0,4,9,3,1,5 
8155,5,9,3,1,5 
0,1,9,3,2,5 
0,2,9,3,2,5 
0,3,9,3,2,5 
0,4,9,3,2,5 
0,5,9,3,2,5 
0,1,9,3,3,5 
0,2,9,3,3,5 
0,3,9,3,3,5 
0,4,9,3,3,5 
0,5,9,3,3,5 
0,1,9,3,4,5 
0,2,9,3,4,5 
0,3,9,3,4,5 
0,4,9,3,4,5 
0,5,9,3,4,5 
0,1,10,3,1,5 
0,2,10,3,1,5 
0,3,10,3,1,5 
0,4,10,3,1,5 
9145,5,10,3,1,5 
0,1,10,3,2,5 
0,2,10,3,2,5 
0,3,10,3,2,5 
0,4,10,3,2,5 
0,5,10,3,2,5 
0,1,10,3,3,5 
0,2,10,3,3,5 
0,3,10,3,3,5 
0,4,10,3,3,5 
0,5,10,3,3,5 
0,1,10,3,4,5 
0,2,10,3,4,5 
0,3,10,3,4,5 
0,4,10,3,4,5 
0,5,10,3,4,5 
0,1,1,1,1,2 
0,2,1,1,1,2 
0,3,1,1,1,2 
0,4,1,1,1,2 
0,5,1,1,1,2 
0,1,1,1,2,2 
0,2,1,1,2,2 
0,3,1,1,2,2 
0,4,1,1,2,2 
0,5,1,1,2,2 
0,1,1,1,3,2 
0,2,1,1,3,2 
0,3,1,1,3,2 
0,4,1,1,3,2 
0,5,1,1,3,2 
0,1,1,1,4,2 
546,2,1,1,4,2 
0,3,1,1,4,2 
0,4,1,1,4,2 
0,5,1,1,4,2 
0,1,2,1,1,2 
0,2,2,1,1,2 
0,3,2,1,1,2 
0,4,2,1,1,2 
0,5,2,1,1,2 
0,1,2,1,2,2 
0,2,2,1,2,2 
0,3,2,1,2,2 
0,4,2,1,2,2 
0,5,2,1,2,2 
0,1,2,1,3,2 
0,2,2,1,3,2 
0,3,2,1,3,2 
0,4,2,1,3,2 
0,5,2,1,3,2 
0,1,2,1,4,2 
101510,2,2,1,4,2 
0,3,2,1,4,2 
0,4,2,1,4,2 
0,5,2,1,4,2 
0,1,3,1,1,2 
47070,2,3,1,1,2 
0,3,3,1,1,2 
0,4,3,1,1,2 
0,5,3,1,1,2 
0,1,3,1,2,2 
0,2,3,1,2,2 
0,3,3,1,2,2 
0,4,3,1,2,2 
0,5,3,1,2,2 
0,1,3,1,3,2 
0,2,3,1,3,2 
0,3,3,1,3,2 
0,4,3,1,3,2 
0,5,3,1,3,2 
0,1,3,1,4,2 
0,2,3,1,4,2 
0,3,3,1,4,2 
0,4,3,1,4,2 
0,5,3,1,4,2 
0,1,4,1,1,2 
13080,2,4,1,1,2 
0,3,4,1,1,2 
0,4,4,1,1,2 
0,5,4,1,1,2 
0,1,4,1,2,2 
0,2,4,1,2,2 
0,3,4,1,2,2 
0,4,4,1,2,2 
0,5,4,1,2,2 
0,1,4,1,3,2 
0,2,4,1,3,2 
0,3,4,1,3,2 
0,4,4,1,3,2 
0,5,4,1,3,2 
0,1,4,1,4,2 
0,2,4,1,4,2 
0,3,4,1,4,2 
0,4,4,1,4,2 
0,5,4,1,4,2 
0,1,5,1,1,2 
14462,2,5,1,1,2 
0,3,5,1,1,2 
0,4,5,1,1,2 
0,5,5,1,1,2 
0,1,5,1,2,2 
0,2,5,1,2,2 
0,3,5,1,2,2 
0,4,5,1,2,2 
0,5,5,1,2,2 
0,1,5,1,3,2 
0,2,5,1,3,2 
0,3,5,1,3,2 
0,4,5,1,3,2 
0,5,5,1,3,2 
0,1,5,1,4,2 
0,2,5,1,4,2 
0,3,5,1,4,2 
0,4,5,1,4,2 
0,5,5,1,4,2 
0,1,6,1,1,2 
0,2,6,1,1,2 
0,3,6,1,1,2 
0,4,6,1,1,2 
0,5,6,1,1,2 
0,1,6,1,2,2 
41083,2,6,1,2,2 
0,3,6,1,2,2 
0,4,6,1,2,2 
0,5,6,1,2,2 
0,1,6,1,3,2 
0,2,6,1,3,2 
0,3,6,1,3,2 
0,4,6,1,3,2 
0,5,6,1,3,2 
0,1,6,1,4,2 
0,2,6,1,4,2 
0,3,6,1,4,2 
0,4,6,1,4,2 
0,5,6,1,4,2 
0,1,7,1,1,2 
16120,2,7,1,1,2 
0,3,7,1,1,2 
0,4,7,1,1,2 
0,5,7,1,1,2 
0,1,7,1,2,2 
0,2,7,1,2,2 
0,3,7,1,2,2 
0,4,7,1,2,2 
0,5,7,1,2,2 
0,1,7,1,3,2 
0,2,7,1,3,2 
0,3,7,1,3,2 
0,4,7,1,3,2 
0,5,7,1,3,2 
0,1,7,1,4,2 
0,2,7,1,4,2 
0,3,7,1,4,2 
0,4,7,1,4,2 
0,5,7,1,4,2 
0,1,8,1,1,2 
111919,2,8,1,1,2 
0,3,8,1,1,2 
0,4,8,1,1,2 
0,5,8,1,1,2 
0,1,8,1,2,2 
0,2,8,1,2,2 
0,3,8,1,2,2 
0,4,8,1,2,2 
0,5,8,1,2,2 
0,1,8,1,3,2 
0,2,8,1,3,2 
0,3,8,1,3,2 
0,4,8,1,3,2 
0,5,8,1,3,2 
0,1,8,1,4,2 
0,2,8,1,4,2 
